sentence_id,sentence,concept,concept_start,concept_end,concept_start_end_list,cue,cue_start,cue_end,label
NCT01959425_exc_0_T3_T2,"OAT required for reasons not related to AF (i.e., prosthetic valve, PV stenosis, previous pulmonary embolism, presence of spontaneous echo contrast [SEC] at standard echo performed at 3-months follow-up).",AF,40,42,,not,25,28,N
NCT02831166_exc_497_T35_T36,Documented chronic peripheral arterial disease preventing the use of the femoral technique;,femoral technique,73,90,,preventing,47,57,N
NCT00391690_inc_1052_T46_T47,Patients with psychiatric or addictive disorders which prevent them from giving their informed consent must not enter the study.,giving informed consent,,,"[(73, 79), (73, 89)]",prevent,55,62,N
NCT02664558_exc_1482_T118_T117,"History of malignancy within the last 5 years, except nonmelanoma skin cancer and cervical carcinoma in situ treated with curative intent.",cervical carcinoma in situ,82,108,,except,47,53,N
NCT02664558_exc_1482_T116_T117,"History of malignancy within the last 5 years, except nonmelanoma skin cancer and cervical carcinoma in situ treated with curative intent.",nonmelanoma skin cancer,54,77,,except,47,53,N
NCT03355469_inc_79_T8_T7,Not diagnosed with Type 2 diabetes.,Type 2 diabetes,19,34,,Not,0,3,N
NCT03355469_inc_115_T10_T9,Not currently engaged in > 60 min/wk of exercise,engaged in exercise,,,"[(14, 24), (14, 22)]",Not,3,6,N
NCT00480129_inc_0_T6_T7,"Clinical diagnosis of allergic rhinitis based on sneeze attacks, runny/blocked/itchy nose in the absence of a common cold during the previous 12 months.",common cold,110,121,,absence,97,104,N
NCT00480129_inc_0_T4_T7,"Clinical diagnosis of allergic rhinitis based on sneeze attacks, runny/blocked/itchy nose in the absence of a common cold during the previous 12 months.",blocked nose,,,"[(71, 78), (71, 75)]",absence,97,104,N
NCT01205334_inc_690_T31_T32,Patients should have been off other investigational antineoplastic therapy for one month prior to entry in this study.,antineoplastic therapy,52,74,,been off,21,29,N
NCT02315287_inc_15_T4_T3,No treatment with insulin or oral agents for 6 months,treatment,3,12,,No,0,2,N
NCT03499639_inc_36_T3_T4,"naive to HCV treatment,",HCV treatment,9,22,,naive,0,5,N
NCT03221231_exc_0_T4_T3,"Currently dependent on any substance other than cannabis, alcohol or nicotine;",cannabis,48,56,,other than,37,47,N
NCT03221231_exc_0_T5_T3,"Currently dependent on any substance other than cannabis, alcohol or nicotine;",alcohol,58,65,,other than,37,47,N
NCT03221231_exc_0_T6_T3,"Currently dependent on any substance other than cannabis, alcohol or nicotine;",nicotine,69,77,,other than,37,47,N
NCT02944292_inc_215_T15_T14,Physician-led sedation (if sedated; as opposed to nurse-led protocol),nurse-led protocol,50,68,,as opposed to,36,49,N
NCT00962364_inc_107_T11_T12,"dilated cardiomyopathy due to valvular heart disease, hypertensive heart disease, history of myocarditis (no active myocardial infection present)",myocardial infection,116,136,,no,106,108,N
NCT02783859_exc_15_T4_T3,"Underlying chronic illness other than asthma (e.g. bronchiectasis, cyanotic congenital heart disease or cardiac failure, neuromuscular disorders, immunodeficiency) that could potentially influence the current illness",asthma,38,44,,other,27,32,N
